Identity,Evaluation,Potency,Activity,Toyota,Ford,BMW,Mercedes,,Position in E,Position in A,Top 5 entities,Euclidean Distance,,TMeanE,TMeanP,TMeanA,FMeanE,FMeanP,FMeanA,BMeanE,BMeanP,BMeanA,MMeanE,MMeanP,MMeanA
executioner,-2.03,1.86,-0.73,4.51,3.98,5.08,5.18,,,,,,,,,,,,,,,,,,
executive,1.26,1.93,1.44,1.6,0.42,1.49,1.6,,,,,,,,,,,,,,,,,,
extrovert,0.6,1.01,2.14,2.45,1.69,2.58,2.71,,,,,,,,,,,,,,,,,,
failure,-1.35,-0.12,-0.42,4,3.86,4.86,4.99,,,,,,,,,,,,,,,,,,
family man,2.36,1.82,0.62,0.57,1,0.65,0.75,,,,,,,,,,,,,,,,,,
fanatic,0.1,0.36,1.62,2.69,2.22,3.17,3.31,,,,,,,,,,,,,,,,,,
father in law,0.84,1.19,0.3,1.47,1.32,2.22,2.35,,,,,,,,,,,,,,,,,,
father,2.46,2.54,0.76,1.3,1.15,0.61,0.59,,,,,,,,,,,,,,,,,,
FBI agent,1.51,2.38,0.51,1.34,0.7,1.36,1.43,,,,,,,,,,,,,,,,,,
felon,-2.32,-0.67,0.33,5.02,4.72,5.78,5.92,,,,,,,,,,,,,,,,,,
female,1.6,0.22,0.42,1.29,1.91,2.28,2.41,,,,,,,,,,,,,,,,,,
feminist,-0.96,0.18,1.43,3.6,3.08,4.15,4.28,,,,,,,,,,,,,,,,,,
fiancé,2.75,1.97,1.39,1.28,1.28,0.32,0.37,,,,,,,,,,,,,,,,,,
fiancée,1.93,0.98,0.77,0.61,1.16,1.4,1.53,,,,,,,,,,,,,,,,,,
firstborn,1.92,1.49,1.48,1.16,0.76,1.06,1.19,,,,,,,,,,,,,,,,,,
flight attendant,0.92,-0.93,0.57,2.63,3.03,3.55,3.69,,,,,,,,,,,,,,,,,,
flirt,1.35,1.32,1.77,1.67,0.97,1.7,1.82,,,,,,,,,,,,,,,,,,
flunky,-1.38,-1.28,-1.35,4.82,5.01,5.84,5.97,,,,,,,,,,,,,,,,,,
foe,-1.68,0.28,0,4.13,3.78,4.87,5,,,,,,,,,,,,,,,,,,
follower,-1.06,-1.74,-1.82,5.05,5.39,6.12,6.24,,,,,,,,,,,,,,,,,,
foreman,0.68,1.19,1.12,1.78,1.15,2.22,2.35,,,,,,,,,,,,,,,,,,
foster child,0.08,-0.94,-0.43,3.26,3.61,4.29,4.43,,,,,,,,,,,,,,,,,,
foster father,0.99,1.23,0.27,1.32,1.24,2.09,2.21,,,,,,,,,,,,,,,,,,
foster mother,0.9,0.49,-0.51,1.86,2.29,2.9,3.02,,,,,,,,,,,,,,,,,,
freeloader,-1.44,-1.73,-0.47,4.89,5,5.85,5.99,,,,,,,,,,,,,,,,,,
friend,2.75,1.88,1.38,1.22,1.29,0.36,0.43,,,,,,,,,,,,,,,,,,
gangster,-1.46,0.78,1.07,3.85,3.2,4.36,4.49,,,,,,,,,,,,,,,,,,
gay,-0.01,-0.1,-0.15,2.76,2.87,3.71,3.84,,,,,,,,,,,,,,,,,,
genius,2.05,2.12,-0.07,0.98,1.3,1.34,1.39,,,,,,,,,,,,,,,,,,
gentleman,2.52,1.33,-0.15,0.59,1.75,1.48,1.55,,,,,,,,,,,,,,,,,,
gigolo,-0.7,-0.37,0.72,3.45,3.26,4.22,4.36,,,,,,,,,,,,,,,,,,
girl Friday,1.94,1.71,1.81,1.51,0.88,1.11,1.22,,,,,,,,,,,,,,,,,,
girl,1.96,0.67,0.99,0.93,1.41,1.61,1.75,,,,,,,,,,,,,,,,,,
girlfriend,2.42,1.88,1.3,1.08,0.95,0.41,0.54,,,,,,,,,,,,,,,,,,
God,2.57,2.9,0.91,1.7,1.41,0.83,0.76,,,,,,,,,,,,,,,,,,
goof-off,-0.93,-1.37,0.82,4.21,4.16,5.03,5.17,,,,,,,,,,,,,,,,,,
gossip,-1.55,-0.01,1.06,4.12,3.65,4.75,4.88,,,,,,,,,,,,,,,,,,
graduate student,1.4,0.94,0.26,0.98,1.36,1.93,2.06,,,,,,,,,,,,,,,,,,
grandchild,1.23,0.48,1.14,1.54,1.54,2.19,2.33,,,,,,,,,,,,,,,,,,
granddaughter,1.94,0.34,0.97,1.17,1.72,1.92,2.05,,,,,,,,,,,,,,,,,,
